timestamp,region,consumption,voltage
2026-04-01 00:00:00,North,491.09,227.4
2026-04-01 00:00:00,South,336.705,225.3
2026-04-01 00:00:00,West,296.71,236.7
2026-04-01 00:00:00,East,489.8,229.4
2026-04-01 01:00:00,West,213.46,236.9
2026-04-01 01:00:00,North,322.89,237.6
2026-04-01 01:00:00,East,358.99,231.2
2026-04-01 02:00:00,South,147.53,227.1
2026-04-01 02:00:00,West,261.22,220.7
2026-04-01 02:00:00,North,454.8,239.1
2026-04-01 02:00:00,East,368.15,233.1
2026-04-01 03:00:00,West,250.09,230.0
2026-04-01 03:00:00,South,336.705,235.6
2026-04-01 03:00:00,East,136.27,233.5
2026-04-01 04:00:00,West,108.52,226.2
2026-04-01 04:00:00,South,336.705,230.6
2026-04-01 04:00:00,North,110.71,226.6
2026-04-01 04:00:00,East,185.04,231.4
2026-04-01 05:00:00,West,198.89,230.0
2026-04-01 05:00:00,South,307.23,225.7
2026-04-01 05:00:00,North,222.71,225.4
2026-04-01 05:00:00,East,172.02,232.8
2026-04-01 06:00:00,West,272.35,236.7
2026-04-01 06:00:00,East,445.36,220.8
2026-04-01 06:00:00,North,489.32,232.8
2026-04-01 06:00:00,South,382.59,237.1
2026-04-01 07:00:00,North,351.26,235.1
2026-04-01 07:00:00,South,357.36,230.0
2026-04-01 07:00:00,West,217.02,238.6
2026-04-01 07:00:00,East,258.95,235.2
2026-04-01 08:00:00,West,134.44,230.2
2026-04-01 08:00:00,South,448.84,236.2
2026-04-01 08:00:00,North,111.66,235.6
2026-04-01 08:00:00,East,274.21500000000003,228.3
2026-04-01 09:00:00,North,407.02,237.3
2026-04-01 09:00:00,West,125.44,221.7
2026-04-01 09:00:00,South,237.79,232.1
2026-04-01 09:00:00,East,274.07,221.3
2026-04-01 10:00:00,East,244.27,229.8
2026-04-01 10:00:00,West,105.73,221.1
2026-04-01 10:00:00,South,376.82,227.2
2026-04-01 10:00:00,North,272.06,239.0
2026-04-01 11:00:00,East,248.83,230.6
2026-04-01 11:00:00,South,326.92,222.1
2026-04-01 11:00:00,North,235.92,221.7
2026-04-01 12:00:00,North,331.7,220.8
2026-04-01 12:00:00,East,274.21500000000003,232.9
2026-04-01 12:00:00,South,336.705,234.3
2026-04-01 12:00:00,West,241.78,225.8
2026-04-01 13:00:00,East,258.47,226.4
2026-04-01 13:00:00,South,333.33,236.9
2026-04-01 13:00:00,North,272.06,228.0
2026-04-01 13:00:00,West,303.16,224.5
2026-04-01 14:00:00,North,280.28,232.2
2026-04-01 14:00:00,South,318.94,225.5
2026-04-01 14:00:00,East,153.4,225.7
2026-04-01 14:00:00,West,299.27,239.3
2026-04-01 15:00:00,East,274.21500000000003,221.1
2026-04-01 15:00:00,North,163.78,239.9
2026-04-01 15:00:00,South,272.72,230.0
2026-04-01 16:00:00,East,378.02,229.6
2026-04-01 16:00:00,South,336.705,221.7
2026-04-01 16:00:00,West,247.45,221.0
2026-04-01 16:00:00,North,164.0,239.0
2026-04-01 17:00:00,South,470.44,224.8
2026-04-01 17:00:00,West,360.06,226.7
2026-04-01 18:00:00,West,362.47,224.2
2026-04-01 18:00:00,East,274.21500000000003,231.7
2026-04-01 18:00:00,South,228.11,230.0
2026-04-01 18:00:00,North,415.52,230.7
2026-04-01 19:00:00,North,154.77,220.1
2026-04-01 19:00:00,East,252.49,239.5
2026-04-01 19:00:00,South,433.39,228.7
2026-04-01 20:00:00,North,341.08,237.1
2026-04-01 20:00:00,South,340.08,237.1
2026-04-01 20:00:00,West,292.11,226.8
2026-04-01 20:00:00,East,301.04,239.3
2026-04-01 21:00:00,West,312.36,220.8
2026-04-01 21:00:00,North,220.93,232.8
2026-04-01 21:00:00,South,410.45,237.2
2026-04-01 21:00:00,East,101.51,220.7
2026-04-01 22:00:00,East,403.16,227.9
2026-04-01 22:00:00,North,267.37,230.0
2026-04-01 22:00:00,South,477.69,221.0
2026-04-01 22:00:00,West,429.51,228.2
2026-04-01 23:00:00,North,272.06,220.5
2026-04-01 23:00:00,South,316.28,237.4
2026-04-01 23:00:00,West,238.66,224.7
2026-04-02 00:00:00,South,431.58,232.9
2026-04-02 00:00:00,West,152.4,227.6
2026-04-02 00:00:00,East,385.19,232.9
2026-04-02 00:00:00,North,453.6,233.6
2026-04-02 01:00:00,South,402.06,227.9
2026-04-02 01:00:00,East,313.89,222.2
2026-04-02 01:00:00,West,332.24,229.5
2026-04-02 01:00:00,North,100.08,223.7
2026-04-02 02:00:00,South,295.59,222.0
2026-04-02 02:00:00,West,295.19,238.1
2026-04-02 02:00:00,North,360.86,239.1
2026-04-02 02:00:00,East,226.07,238.3
2026-04-02 03:00:00,South,113.77,234.2
2026-04-02 03:00:00,East,450.19,233.1
2026-04-02 03:00:00,West,408.05,220.9
2026-04-02 03:00:00,North,184.4,221.8
2026-04-02 04:00:00,South,363.95,230.0
2026-04-02 04:00:00,East,395.06,224.1
2026-04-02 04:00:00,West,118.22,221.5
2026-04-02 04:00:00,North,272.06,233.4
2026-04-02 05:00:00,South,287.09,232.3
2026-04-02 05:00:00,North,108.12,230.0
2026-04-02 05:00:00,East,274.36,230.5
2026-04-02 05:00:00,West,425.04,235.4
