timestamp,region,consumption,voltage
2026-04-01 00:00:00,West,296.71,236.7
2026-04-01 01:00:00,West,213.46,236.9
2026-04-01 02:00:00,West,,220.7
2026-04-01 03:00:00,West,250.09,
2026-04-01 04:00:00,West,108.52,226.2
2026-04-01 05:00:00,West,198.89,
2026-04-01 06:00:00,West,272.35,236.7
2026-04-01 07:00:00,West,217.02,238.6
2026-04-01 08:00:00,West,134.44,230.2
2026-04-01 09:00:00,West,125.44,221.7
2026-04-01 10:00:00,West,105.73,221.1
2026-04-01 11:00:00,,153.45,237.2
2026-04-01 12:00:00,West,241.78,225.8
2026-04-01 13:00:00,West,303.16,224.5
2026-04-01 14:00:00,West,299.27,239.3
2026-04-01 15:00:00,,223.89,235.8
2026-04-01 16:00:00,West,247.45,221.0
2026-04-01 17:00:00,West,360.06,226.7
2026-04-01 18:00:00,West,362.47,224.2
2026-04-01 19:00:00,,428.37,221.4
2026-04-01 20:00:00,West,292.11,226.8
2026-04-01 21:00:00,West,312.36,220.8
2026-04-01 22:00:00,West,429.51,228.2
2026-04-01 23:00:00,West,238.66,224.7
2026-04-02 00:00:00,West,152.4,227.6
2026-04-02 01:00:00,West,332.24,229.5
2026-04-02 02:00:00,West,295.19,238.1
2026-04-02 03:00:00,West,408.05,220.9
2026-04-02 04:00:00,West,118.22,221.5
2026-04-02 05:00:00,West,425.04,235.4
